Expanded Count: 960
Left Bank:  chickens: 0, wolves: 0, boat: 0
Right Bank:  chickens: 99, wolves: 96, boat: 1
Left Bank:  chickens: 2, wolves: 0, boat: 1
Right Bank:  chickens: 97, wolves: 96, boat: 0
Left Bank:  chickens: 1, wolves: 0, boat: 0
Right Bank:  chickens: 98, wolves: 96, boat: 1
Left Bank:  chickens: 2, wolves: 1, boat: 1
Right Bank:  chickens: 97, wolves: 95, boat: 0
Left Bank:  chickens: 1, wolves: 1, boat: 0
Right Bank:  chickens: 98, wolves: 95, boat: 1
Left Bank:  chickens: 3, wolves: 1, boat: 1
Right Bank:  chickens: 96, wolves: 95, boat: 0
Left Bank:  chickens: 3, wolves: 0, boat: 0
Right Bank:  chickens: 96, wolves: 96, boat: 1
Left Bank:  chickens: 3, wolves: 2, boat: 1
Right Bank:  chickens: 96, wolves: 94, boat: 0
Left Bank:  chickens: 2, wolves: 2, boat: 0
Right Bank:  chickens: 97, wolves: 94, boat: 1
Left Bank:  chickens: 4, wolves: 2, boat: 1
Right Bank:  chickens: 95, wolves: 94, boat: 0
Left Bank:  chickens: 3, wolves: 2, boat: 0
Right Bank:  chickens: 96, wolves: 94, boat: 1
Left Bank:  chickens: 5, wolves: 2, boat: 1
Right Bank:  chickens: 94, wolves: 94, boat: 0
Left Bank:  chickens: 4, wolves: 2, boat: 0
Right Bank:  chickens: 95, wolves: 94, boat: 1
Left Bank:  chickens: 5, wolves: 3, boat: 1
Right Bank:  chickens: 94, wolves: 93, boat: 0
Left Bank:  chickens: 4, wolves: 3, boat: 0
Right Bank:  chickens: 95, wolves: 93, boat: 1
Left Bank:  chickens: 6, wolves: 3, boat: 1
Right Bank:  chickens: 93, wolves: 93, boat: 0
Left Bank:  chickens: 5, wolves: 3, boat: 0
Right Bank:  chickens: 94, wolves: 93, boat: 1
Left Bank:  chickens: 6, wolves: 4, boat: 1
Right Bank:  chickens: 93, wolves: 92, boat: 0
Left Bank:  chickens: 5, wolves: 4, boat: 0
Right Bank:  chickens: 94, wolves: 92, boat: 1
Left Bank:  chickens: 7, wolves: 4, boat: 1
Right Bank:  chickens: 92, wolves: 92, boat: 0
Left Bank:  chickens: 6, wolves: 4, boat: 0
Right Bank:  chickens: 93, wolves: 92, boat: 1
Left Bank:  chickens: 7, wolves: 5, boat: 1
Right Bank:  chickens: 92, wolves: 91, boat: 0
Left Bank:  chickens: 6, wolves: 5, boat: 0
Right Bank:  chickens: 93, wolves: 91, boat: 1
Left Bank:  chickens: 8, wolves: 5, boat: 1
Right Bank:  chickens: 91, wolves: 91, boat: 0
Left Bank:  chickens: 7, wolves: 5, boat: 0
Right Bank:  chickens: 92, wolves: 91, boat: 1
Left Bank:  chickens: 8, wolves: 6, boat: 1
Right Bank:  chickens: 91, wolves: 90, boat: 0
Left Bank:  chickens: 7, wolves: 6, boat: 0
Right Bank:  chickens: 92, wolves: 90, boat: 1
Left Bank:  chickens: 9, wolves: 6, boat: 1
Right Bank:  chickens: 90, wolves: 90, boat: 0
Left Bank:  chickens: 8, wolves: 6, boat: 0
Right Bank:  chickens: 91, wolves: 90, boat: 1
Left Bank:  chickens: 9, wolves: 7, boat: 1
